07 10214	ÖN FİLTRE NS KOMPLESİ
10 02976	TERMOKUPUL ETB30F06-5Ç
07 15142	REZİSTANS KOMPLESİ 8000W 50CM DÜZ DİKİŞSİZ
07 00670	EMİŞ FİLTRESİ KOMPLESİ (PYM2,KBN,VDL,ULT,KNV)
07 16791	SEVİYE SENSÖRÜ ÇAT.TİP VEGASWING 51 DİŞ ÇEKİLMİŞ
10 19471	SENSÖR E2BM12KN08M1B1 OMRON END.PROX.M12 8MM
10 17815	SENSÖR E3FA-DP23 OMRON END.PROX.M18 1000MM
10 03088	NOZZLE 632.724.16.CC
07 17295	SALYANGOZLU FAN ENA 2 0,37 KW HAVA SO.SİLİKONLU
07 03497	YAĞ SIYIRICI TEFLONU
10 00586	REDÜKTÖR MOTORU 0,09KW 1500D/D B14 SIYIRICI
10 01002	REDÜKTÖR EN:30 I:80 B:05
10 02526	YAĞ KEÇESİ 20*42*7
10 01017	RULMAN 6004 2RS ORS
10 05378	TORBA FİLTRE 200 MİKRON ( 50CM PASL. TEL ÇERÇEVE)
10 00296	PASLANMAZ SEVİYE BEKÇİSİ
10 19321	REDÜKTÖR WITTENSTEIN NP035S-MF2-30-1G1-1S
10 19317	SERVO MOTOR SIEMENS SIMOTICS 1FL6064-1AC61-2AA1
10 19318	SERVO SÜRÜCÜ SIEMENS 6SL3210-5FE11-5UF0
10 07147	SWITCH F3STGRNLPU21M1J8 OMRON MANYETİK KAPI
07 17478	KNV 30 3000 2B PRO IDE GOULDS POMPA KOMPLESİ
10 06675	POMPA LOWARA ESHE 40-160/30 380V/50HZ
